"","Serotype","n","prop"
"1","Infantis",179,26.401179941003
"2","Senftenberg",86,12.6843657817109
"3","Albany",75,11.0619469026549
"4","Schwarzengrund",59,8.70206489675516
"5","Uganda",56,8.25958702064897
"6","Agona",40,5.89970501474926
"7","Muenchen",28,4.12979351032448
"8","1,4,5,12",26,3.83480825958702
"9","Typhimurium",17,2.50737463126844
"10","Liverpool",16,2.3598820058997
"11","Reading",15,2.21238938053097
"12","Hadar",10,1.47492625368732
"13","Berta",9,1.32743362831858
"14","Ouakam",9,1.32743362831858
"15","Rissen",9,1.32743362831858
"16","Alachua",8,1.17994100294985
"17","Anatum",6,0.884955752212389
"18","Lillie",5,0.737463126843658
"19","Worthington",5,0.737463126843658
"20","Heidelberg",4,0.589970501474926
"21","Rough O",4,0.589970501474926
"22","6,7:r:-",2,0.294985250737463
"23","Derby",2,0.294985250737463
"24","Kiambu",2,0.294985250737463
"25","16:d:-",1,0.147492625368732
"26","6,8 : z10:-",1,0.147492625368732
"27","Arizoniae",1,0.147492625368732
"28","Johannesburg",1,0.147492625368732
"29","Kentucky",1,0.147492625368732
"30","Newport",1,0.147492625368732
