,Start_Date,Prod_Type,Sex,Breed,Brooder,Grower,Bootie_Swabs,Group,Serotype,Process_Date,Project,month
762,7/31/2018,Antibiotic-free,HHEN,NIC-SS,WINDY CREEK BROODER FARM,BONEY TURKEY FARM,Positive,C1,Infantis,11/8/2018,4215WC18,11/1/2018
766,7/31/2018,Antibiotic-free,HHEN,NIC-SS,WINDY CREEK BROODER FARM,BONEY TURKEY FARM,Positive,C2,Albany,11/12/2018,4216WC18,11/1/2018
1093,6/19/2019,Antibiotic-free,HHEN,NIC-SS,WINDY CREEK BROODER FARM,BONEY TURKEY FARM,Positive,B,Schwarzengrund,10/8/2019,4179WC19,10/1/2019
1094,6/19/2019,Conventional,HHEN,HYB-C,WINDY CREEK BROODER FARM,BONEY TURKEY FARM,Positive,B,Schwarzengrund,10/16/2019,4178WC19,10/1/2019
674,5/30/2018,Conventional,LHEN,NIC-SS,WINDY CREEK BROODER FARM,BRUCE BUTLER,Positive,C2,Albany,8/22/2018,4153WC18,8/1/2018
675,5/30/2018,Conventional,LHEN,NIC-SS,WINDY CREEK BROODER FARM,BRUCE BUTLER,Positive,C2,Albany,8/22/2018,4154WC18,8/1/2018
1576,7/30/2020,Antibiotic-free,HHEN,HYB-C,WINDY CREEK BROODER FARM,GLENN D JONES,Negative,0,0,11/23/2020,4211WC20,11/1/2020
1577,7/31/2020,Antibiotic-free,HHEN,HYB-C,WINDY CREEK BROODER FARM,GLENN D JONES,Negative,0,0,11/25/2020,4212WC20,11/1/2020
1224,10/30/2019,Antibiotic-free,LHEN,NIC-85,WINDY CREEK BROODER FARM,HOLLINGSWORTH FARMS INC,Positive,B,Agona,1/27/2020,4316WC19,1/1/2020
391,9/12/2017,Conventional,LHEN,NIC-SS,WINDY CREEK BROODER FARM,JAMES E DANIELS,Positive,C1,Infantis,12/5/2017,4264WC17,12/1/2017
393,9/12/2017,Conventional,LHEN,NIC-SS,WINDY CREEK BROODER FARM,JAMES E DANIELS,Positive,C2,Albany,12/6/2017,4265WC17,12/1/2017
898,12/11/2018,Conventional,LHEN,NIC-85,WINDY CREEK BROODER FARM,JAMES E DANIELS,Positive,C1,Infantis,4/2/2019,4360WC18,4/1/2019
1160,8/20/2019,Antibiotic-free,HHEN,NIC-SS,WINDY CREEK BROODER FARM,JAMES E DANIELS,Negative,0,0,11/15/2019,4242WC19,11/1/2019
1161,8/20/2019,Antibiotic-free,HHEN,NIC-SS,WINDY CREEK BROODER FARM,JAMES E DANIELS,Negative,0,0,12/9/2019,4243WC19,12/1/2019
462,11/21/2017,Conventional,LHEN,NIC-SS,WINDY CREEK BROODER FARM,MATTHEWS FARM,Negative,0,0,2/14/2018,4335WC17,2/1/2018
468,11/22/2017,Conventional,LHEN,HYB-C,WINDY CREEK BROODER FARM,MATTHEWS FARM,Positive,D2,Ouakam,2/20/2018,4336WC17,2/1/2018
1318,1/8/2020,Antibiotic-free,HHEN,NIC-88,WINDY CREEK BROODER FARM,MATTHEWS FARM,Positive,E1,Uganda,4/22/2020,4002WC20,4/1/2020
539,1/24/2018,Conventional,LHEN,HYB-C,WINDY CREEK BROODER FARM,MCCULLENS TURKEY FARM,Negative,0,0,4/25/2018,4020WC18,4/1/2018
1360,3/11/2020,Conventional,LHEN,HYB-C,WINDY CREEK BROODER FARM,MCCULLENS TURKEY FARM,Negative,0,0,6/7/2020,4061WC20,6/1/2020
823,10/9/2018,Antibiotic-free,HHEN,NIC-85,WINDY CREEK BROODER FARM,MILLETTE J PARKER,Positive,C1,Infantis,1/29/2019,4291WC18,1/1/2019
824,10/9/2018,Conventional,HHEN,NIC-SS,WINDY CREEK BROODER FARM,MILLETTE J PARKER,Negative,0,0,1/29/2019,4290WC18,1/1/2019
1029,4/16/2019,Antibiotic-free,LHEN,NIC-SS,WINDY CREEK BROODER FARM,MILLETTE J PARKER,Negative,0,0,7/18/2019,4114WC19,7/1/2019
1030,4/16/2019,Conventional,LHEN,HYB-C,WINDY CREEK BROODER FARM,MILLETTE J PARKER,Positive,D2,Ouakam,8/13/2019,4113WC19,8/1/2019
206,3/7/2017,Conventional,HHEN,NIC-SS,WINDY CREEK BROODER FARM,MOLTONVILLE GROWOUT,Positive,B,Heidelberg,7/5/2017,4062WC17,7/1/2017
352,7/11/2017,Conventional,HHEN,NIC-SS,WINDY CREEK BROODER FARM,NAYLOR FARM,Negative,0,0,11/2/2017,4196WC17,11/1/2017
353,7/11/2017,Conventional,HHEN,NIC-SS,WINDY CREEK BROODER FARM,NAYLOR FARM,Negative,0,0,11/3/2017,4195WC17,11/1/2017
1324,1/8/2020,Conventional,HHEN,NIC-85,WINDY CREEK BROODER FARM,NAYLOR FARM,Negative,0,0,4/29/2020,4001WC20,4/1/2020
604,3/28/2018,Conventional,LHEN,NIC-SS,WINDY CREEK BROODER FARM,ORTIZ FARMS,Positive,C1,Infantis,6/19/2018,4078WC18,6/1/2018
605,3/28/2018,Conventional,LHEN,HYB-C,WINDY CREEK BROODER FARM,ORTIZ FARMS,Positive,C1,Infantis,6/19/2018,4079WC18,6/1/2018
899,12/11/2018,Conventional,HHEN,NIC-85,WINDY CREEK BROODER FARM,ORTIZ FARMS,Negative,0,0,4/3/2019,4361WC18,4/1/2019
282,5/9/2017,Conventional,HHEN,NIC-SS,WINDY CREEK BROODER FARM,OWEN FARM,Negative,0,0,9/7/2017,4126WC17,9/1/2017
283,5/9/2017,Conventional,HHEN,NIC-SS,WINDY CREEK BROODER FARM,OWEN FARM,Negative,0,0,9/8/2017,4127WC17,9/1/2017
966,2/12/2019,Conventional,HHEN,NIC-85,WINDY CREEK BROODER FARM,OWEN FARM,Positive,E4,Senftenberg,6/26/2019,4046WC19,6/1/2019
967,2/13/2019,Antibiotic-free,HHEN,NIC-SS,WINDY CREEK BROODER FARM,OWEN FARM,Negative,0,0,6/4/2019,4047WC19,6/1/2019
104,1/3/2017,Conventional,LHEN,HYB-C,WINDY CREEK BROODER FARM,TIM CLIFTON,Negative,0,0,3/30/2017,4000WC17,3/1/2017
105,1/3/2017,Conventional,LHEN,HYB-C,WINDY CREEK BROODER FARM,TIM CLIFTON,Negative,0,0,3/31/2017,4001WC17,3/1/2017
62,11/1/2016,Conventional,HHEN,NIC-SS,WINDY CREEK BROODER FARM,TOMBOY 1-6,Negative,0,0,2/21/2017,4343WC16,2/1/2017
64,11/1/2016,Conventional,HHEN,NIC-85,WINDY CREEK BROODER FARM,TOMBOY 1-6,Negative,0,0,2/23/2017,4344WC16,2/1/2017
1246,10/30/2019,Antibiotic-free,HHEN,NIC-85,WINDY CREEK BROODER FARM,TOMBOY 1-6,Negative,0,0,2/18/2020,4315WC19,2/1/2020
359,8/15/2017,Conventional,LHEN,NIC-SS,WILSON FAMILY BROODER HUB,BLACKMAN  FARM,Positive,C1,Infantis,11/8/2017,4238MW17,11/1/2017
360,8/15/2017,Conventional,LHEN,NIC-SS,WILSON FAMILY BROODER HUB,BLACKMAN  FARM,Positive,C1,Infantis,11/8/2017,4239MW17,11/1/2017
1235,11/12/2019,Conventional,LHEN,HYB-C,WILSON FAMILY BROODER HUB,BLACKMAN  FARM,Positive,C1,Infantis,2/5/2020,4332MW19,2/1/2020
552,1/10/2018,Conventional,HHEN,NIC-SS,WILSON FAMILY BROODER HUB,BONEY TURKEY FARM,Positive,B,Typhimurium,5/7/2018,4009MW18,5/1/2018
558,1/10/2018,Conventional,HHEN,HYB-C,WILSON FAMILY BROODER HUB,BONEY TURKEY FARM,Positive,C1,Infantis,5/10/2018,4010MW18,5/1/2018
1034,4/24/2019,Conventional,LHEN,NIC-SS,WILSON FAMILY BROODER HUB,D & R STRICKLAND,Positive,E1,Uganda,7/24/2019,4122MW19,7/1/2019
975,2/20/2019,Antibiotic-free,HHEN,NIC-SS,WILSON FAMILY BROODER HUB,GUY D CASEY,Negative,0,0,6/10/2019,4027MW19,6/1/2019
976,2/20/2019,Conventional,HHEN,NIC-85,WILSON FAMILY BROODER HUB,GUY D CASEY,Negative,0,0,6/18/2019,4026MW19,6/1/2019
1554,8/13/2020,Antibiotic-free,LHEN,NIC-85,WILSON FAMILY BROODER HUB,GUY D CASEY,Positive,C1,Infantis,11/6/2020,4230MW20,11/1/2020
1555,8/14/2020,Antibiotic-free,LHEN,NIC-85,WILSON FAMILY BROODER HUB,GUY D CASEY,Positive,E1,Uganda,11/7/2020,4231MW20,11/1/2020
1428,3/31/2020,Conventional,HTOM,NIC-85,WILSON FAMILY BROODER HUB,HARRELSON GOBBLERS,Negative,0,0,8/12/2020,3014MW20,8/1/2020
1480,3/31/2020,Conventional,HTOM,NIC-85,WILSON FAMILY BROODER HUB,HARRELSON GOBBLERS,Positive,E4,Senftenberg,8/12/2020,3014MW20,8/1/2020
593,3/20/2018,Conventional,LHEN,NIC-SS,WILSON FAMILY BROODER HUB,HOLLINGSWORTH FARMS INC,Positive,E1,Uganda,6/11/2018,4071MW18,6/1/2018
598,3/20/2018,Conventional,LHEN,NIC-SS,WILSON FAMILY BROODER HUB,HOLLINGSWORTH FARMS INC,Positive,E4,Senftenberg,6/13/2018,4072MW18,6/1/2018
795,9/24/2018,Antibiotic-free,LHEN,NIC-SS,WILSON FAMILY BROODER HUB,HOLLINGSWORTH FARMS INC,Positive,C1,Infantis,12/14/2018,4274MW18,12/1/2018
1380,3/31/2020,Conventional,LHEN,NIC-85,WILSON FAMILY BROODER HUB,HOLLINGSWORTH FARMS INC,Negative,0,0,6/30/2020,4087MW20,6/1/2020
1518,6/9/2020,Antibiotic-free,HHEN,NIC-85,WILSON FAMILY BROODER HUB,HOLLINGSWORTH FARMS INC,Negative,0,0,10/6/2020,4184MW20,10/1/2020
1523,6/10/2020,Antibiotic-free,HHEN,NIC-85,WILSON FAMILY BROODER HUB,HOLLINGSWORTH FARMS INC,Positive,E4,Senftenberg,10/12/2020,4185MW20,10/1/2020
68,11/8/2016,Conventional,HHEN,NIC-85,WILSON FAMILY BROODER HUB,J&C TURKEY FARM,Negative,0,0,2/28/2017,4336MW16,2/1/2017
71,11/8/2016,Conventional,HHEN,NIC-SS,WILSON FAMILY BROODER HUB,J&C TURKEY FARM,Negative,0,0,3/2/2017,4337MW16,3/1/2017
130,1/10/2017,Conventional,HHEN,HYB-C,WILSON FAMILY BROODER HUB,JERRY DAVIS,Negative,0,0,4/25/2017,4007MW17,4/1/2017
134,1/10/2017,Conventional,HHEN,HYB-C,WILSON FAMILY BROODER HUB,JERRY DAVIS,Negative,0,0,4/27/2017,4006MW17,4/1/2017
1035,4/24/2019,Conventional,LHEN,NIC-SS,WILSON FAMILY BROODER HUB,MARVIN CHANCE,Negative,0,0,7/30/2019,4123MW19,7/1/2019
734,7/24/2018,Antibiotic-free,LHEN,NIC-SS,WILSON FAMILY BROODER HUB,MILLETTE J PARKER,Positive,B,"1,4,5,12",10/17/2018,4209MW18,10/1/2018
